Asset Id,Serial Number,Dormant Days,Health Issue,Health Severity,Moving,Speed(mph),Heading,At Landmark,Landmark Name,Landmark Category,Street,City,Distance From Location(miles),State,Country,Postal,Latitude,Longitude,Last Report Type,Last Report Status,Last Report Time(US/Eastern),Last Trip Duration(hrs),Cargo Status,Last Cargo Time(US/Eastern),Cargo Status Duration (days),Container Status,Last Container Time(US/Eastern),Container Status Duration (days),Motion Status,Door Status,Power Status,Tire System,Tamper,Volumetric Status,Last Volumetric Time(US/Eastern),Last Volumetric Duration (days),Cube(%),Floor Space(%),Image Link
1931281PLA,GXL7DSPD174935448,0,No,,No,0,NW,No,"",,,"Ontario",2.73 SE,CA,US,91761,34.0318832397461,-117.566673278809,Event,Stop,01/09/2023 10:01 PM,0.1,Empty,01/04/2023 01:35 PM,5.0,,,,Idle,,,,,,,,,,,,
1931282PLA,GXL7DSPD174935721,1,No,,No,0,N,No,"",,,"Everman",1.28 SE,TX,US,76140,32.619213104248,-97.2648239135742,Scheduled,Idle,01/10/2023 04:13 AM,0.8,Empty,01/08/2023 02:47 PM,1.0,,,,Idle,,,,,,,,,,,,
1931401PLA,GXL7ESPD180362838,0,No,,Yes,0,S,No,"",,,"Lodi",5.44 W,CA,US,95240,38.1177825927734,-121.394248962402,Event Response,Moving,01/10/2023 06:54 AM,1.2,Loaded,01/09/2023 03:15 PM,0.0,,,,Moving,,,,,,,,,,,,
1931402PLA,GXL7ESPD180362947,13,No,,No,,N,No,"",,,,,,,,,,Scheduled,Idle,01/09/2023 11:02 AM,112.9,Empty,12/24/2022 03:21 AM,17.0,,,,Idle,,,,,,,,,,,,
1931405PLA,GXL7ESPD180362795,1,No,,No,0,N,No,"",,,"Everman",1.32 SE,TX,US,76140,32.6195755004883,-97.2637710571289,Scheduled,Idle,01/09/2023 06:35 PM,0.7,Empty,01/06/2023 11:47 AM,3.0,,,,Idle,,,,,,,,,,,,
1931410PLA,GXL7ESPD184866871,1,No,,No,0,N,No,"",,,"Canyon Lake",4.60 NW,CA,US,92587,33.7431983947754,-117.288665771484,Scheduled,Idle,01/10/2023 12:31 AM,0.4,Empty,12/29/2022 10:21 PM,11.0,,,,Idle,,,,,,,,,,,,
1931416PLA,GXL7ESPD180362958,0,No,,Yes,48,N,No,"",,,"Monteagle",3.72 SE,TN,US,37356,35.2048225402832,-85.7898712158203,Event Response,Moving,01/10/2023 06:55 AM,0.1,Loaded,01/09/2023 02:18 PM,0.0,,,,Moving,,,,,,,,,,,,
1931454PLA,GXL7ESPD180976202,1,No,,No,0,N,No,"",,,"Canyon Lake",4.60 NW,CA,US,92587,33.7430114746094,-117.28929901123,Scheduled,Idle,01/09/2023 05:20 PM,0.5,Empty,01/08/2023 03:21 PM,1.0,,,,Idle,,,,,,,,,,,,
1932165PLA,GXL7ESPD180976212,2,No,,No,0,SW,No,"",,,"Canyon Lake",4.62 NW,CA,US,92587,33.7432327270508,-117.289451599121,Yard Move,Idle,01/09/2023 01:40 PM,0.1,Empty,12/31/2022 07:17 AM,9.0,,,,Idle,,,,,,,,,,,,
1932233PLA,GXL7ESPD182026671,0,No,,No,0,N,No,"",,,"Vacaville",3.79 N,CA,US,95688,38.4154014587402,-121.94889831543,Scheduled,Idle,01/10/2023 07:01 AM,0.1,Empty,12/26/2022 03:22 PM,14.0,,,,Idle,,,,,,,,,,,,
1932268PLA,GXL7ESPD182026043,10,No,,No,0,N,No,"",,,"Raritan",3.01 S,NJ,US,08869,40.5292053222656,-74.6532974243164,Scheduled,Idle,01/09/2023 04:08 PM,1.0,Empty,12/28/2022 09:59 AM,12.0,,,,Idle,,,,,,,,,,,,
1932269PLA,GXL7ESPD182026061,1,No,,No,0,N,No,"",,,"Northglenn",4.03 N,CO,US,80233,39.9638404846191,-104.985237121582,Scheduled,Idle,01/09/2023 10:30 PM,0.1,Empty,01/07/2023 03:00 PM,2.0,,,,Idle,,,,,,,,,,,,
1932277PLA,GXL7ESPD182026148,3,No,,No,0,N,No,"",,,"Magna",4.13 NE,UT,US,84044,40.7559547424316,-112.047004699707,Scheduled,Idle,01/09/2023 10:56 PM,0.1,Empty,01/06/2023 02:48 PM,3.0,,,,Idle,,,,,,,,,,,,
1932279PLA,GXL7ESPD182026140,5,No,,No,0,N,No,"",,,"Olyphant",1.94 E,PA,US,18447,41.4588432312012,-75.5450134277344,Scheduled,Idle,01/09/2023 02:45 PM,2.2,Empty,01/02/2023 02:53 PM,7.0,,,,Idle,,,,,,,,,,,,
1932280PLA,GXL7ESPD182026057,0,No,,No,0,N,No,"",,,"Kettleman City",0.31 SE,CA,US,93239,36.0046539306641,-119.958450317383,Event,Stop,01/10/2023 03:03 AM,0.1,Empty,01/10/2023 01:45 AM,0.0,,,,Idle,,,,,,,,,,,,
